Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.2,-0.33,-0.07,-0.41,-0.17,-0.02,-1.05,-0.51,-0.26,-0.21,-0.14,-0.05,0.05,0.65
1881,-0.11,-0.2,-0.02,-0.34,0.05,-0.08,-0.93,-0.5,-0.15,0.03,0.06,-0.07,-0.07,0.57
1882,-0.12,-0.22,-0.02,-0.3,-0.08,0.02,-1.51,-0.29,-0.09,-0.09,-0.07,0.02,0.04,0.6
1883,-0.2,-0.33,-0.07,-0.38,-0.21,0,-0.4,-0.62,-0.22,-0.24,-0.19,-0.02,0.07,0.48
1884,-0.3,-0.44,-0.16,-0.58,-0.21,-0.14,-1.36,-0.62,-0.41,-0.23,-0.2,-0.19,-0.02,0.63
1885,-0.32,-0.41,-0.25,-0.6,-0.16,-0.26,-1.19,-0.68,-0.42,-0.09,-0.23,-0.31,-0.15,0.8
1886,-0.33,-0.42,-0.24,-0.52,-0.26,-0.23,-1.26,-0.49,-0.4,-0.25,-0.27,-0.22,-0.2,0.57
1887,-0.36,-0.41,-0.31,-0.46,-0.33,-0.28,-1.57,-0.47,-0.26,-0.31,-0.35,-0.29,-0.26,0.3
1888,-0.19,-0.23,-0.15,-0.42,0.06,-0.3,-1.5,-0.42,-0.21,0.06,0.06,-0.33,-0.23,0.14
1889,-0.12,-0.18,-0.07,-0.28,0.04,-0.17,-0.9,-0.19,-0.21,-0.01,0.08,-0.17,-0.15,0.43
1890,-0.38,-0.42,-0.35,-0.47,-0.43,-0.23,-1.34,-0.54,-0.26,-0.34,-0.52,-0.19,-0.28,0.13
1891,-0.25,-0.29,-0.23,-0.44,-0.14,-0.22,-1.38,-0.32,-0.33,-0.04,-0.24,-0.19,-0.24,-0.18
1892,-0.28,-0.39,-0.17,-0.43,-0.32,-0.09,-1.41,-0.61,-0.12,-0.34,-0.3,0.01,-0.22,0.07
1893,-0.33,-0.47,-0.2,-0.49,-0.4,-0.08,-0.99,-0.53,-0.36,-0.42,-0.38,0.02,-0.21,-0.06
1894,-0.33,-0.4,-0.25,-0.35,-0.37,-0.25,-1.44,-0.28,-0.12,-0.49,-0.25,-0.17,-0.35,-0.4
1895,-0.24,-0.3,-0.18,-0.39,-0.1,-0.27,-1,-0.45,-0.2,-0.14,-0.06,-0.22,-0.32,-0.61
1896,-0.13,-0.21,-0.05,-0.38,0.08,-0.16,-1.32,-0.35,-0.16,0.05,0.11,-0.16,-0.14,0.23
1897,-0.13,-0.18,-0.08,-0.35,0.12,-0.25,-0.83,-0.39,-0.21,0.1,0.15,-0.22,-0.28,0.38
1898,-0.29,-0.3,-0.29,-0.33,-0.28,-0.27,-1.28,-0.16,-0.2,-0.24,-0.31,-0.29,-0.21,0.35
1899,-0.2,-0.22,-0.17,-0.23,-0.17,-0.2,-1.17,-0.01,-0.13,-0.2,-0.14,-0.18,-0.22,0.56
1900,-0.1,-0.09,-0.11,-0.19,0.12,-0.31,-0.69,-0.08,-0.14,0.07,0.17,-0.31,-0.29,0.25
1901,-0.16,-0.11,-0.22,-0.13,-0.08,-0.31,-0.57,-0.03,-0.07,-0.07,-0.08,-0.29,-0.34,0.24
1902,-0.3,-0.33,-0.27,-0.49,-0.11,-0.36,-1.51,-0.41,-0.27,-0.08,-0.14,-0.3,-0.43,-0.07
1903,-0.39,-0.38,-0.41,-0.44,-0.34,-0.4,-0.41,-0.38,-0.49,-0.27,-0.42,-0.38,-0.4,-0.47
1904,-0.5,-0.5,-0.5,-0.5,-0.53,-0.45,-0.31,-0.56,-0.52,-0.48,-0.58,-0.39,-0.49,-1.29
1905,-0.3,-0.32,-0.27,-0.41,-0.16,-0.37,-0.26,-0.19,-0.59,-0.18,-0.14,-0.35,-0.37,-0.31
1906,-0.24,-0.24,-0.24,-0.24,-0.23,-0.24,-0.48,-0.01,-0.34,-0.23,-0.23,-0.22,-0.23,-0.69
1907,-0.41,-0.48,-0.33,-0.59,-0.35,-0.3,-0.82,-0.71,-0.46,-0.32,-0.38,-0.23,-0.37,-1.18
1908,-0.45,-0.47,-0.43,-0.49,-0.48,-0.36,-0.52,-0.52,-0.47,-0.44,-0.52,-0.29,-0.48,0.7
1909,-0.49,-0.48,-0.5,-0.5,-0.51,-0.45,-0.88,-0.52,-0.4,-0.46,-0.56,-0.38,-0.52,-0.54
1910,-0.44,-0.44,-0.45,-0.39,-0.53,-0.38,-0.74,-0.16,-0.45,-0.51,-0.54,-0.33,-0.45,0.18
1911,-0.43,-0.4,-0.47,-0.38,-0.44,-0.47,-0.3,-0.37,-0.42,-0.42,-0.47,-0.43,-0.52,0.07
1912,-0.37,-0.47,-0.26,-0.6,-0.2,-0.36,-0.72,-0.73,-0.48,-0.28,-0.13,-0.36,-0.29,-1.61
1913,-0.36,-0.44,-0.28,-0.43,-0.33,-0.34,-0.74,-0.27,-0.46,-0.46,-0.2,-0.28,-0.4,-1.01
1914,-0.17,-0.21,-0.12,-0.26,-0.09,-0.18,-0.66,-0.09,-0.26,-0.13,-0.05,-0.16,-0.18,-0.34
1915,-0.13,-0.12,-0.14,-0.2,-0.02,-0.22,-0.67,-0.08,-0.15,0,-0.04,-0.15,-0.23,-1.96
1916,-0.34,-0.37,-0.31,-0.31,-0.45,-0.22,-0.4,-0.44,-0.2,-0.47,-0.43,-0.22,-0.17,-1.02
1917,-0.45,-0.55,-0.36,-0.43,-0.66,-0.18,-0.73,-0.38,-0.38,-0.73,-0.59,-0.23,-0.09,0.09
1918,-0.29,-0.38,-0.21,-0.39,-0.34,-0.14,-1.27,-0.17,-0.29,-0.36,-0.32,-0.06,-0.22,-0.26
1919,-0.28,-0.35,-0.21,-0.42,-0.22,-0.22,-0.93,-0.45,-0.27,-0.24,-0.19,-0.15,-0.32,0.22
1920,-0.27,-0.27,-0.26,-0.2,-0.28,-0.32,-0.07,-0.07,-0.31,-0.38,-0.17,-0.19,-0.48,-1.12
1921,-0.19,-0.09,-0.29,0.04,-0.27,-0.31,-0.11,0.26,-0.06,-0.28,-0.25,-0.24,-0.38,-0.81
1922,-0.28,-0.25,-0.31,-0.21,-0.33,-0.28,-0.46,-0.3,-0.09,-0.32,-0.34,-0.25,-0.28,-0.25
1923,-0.25,-0.19,-0.31,-0.11,-0.29,-0.34,0.07,-0.04,-0.22,-0.31,-0.28,-0.27,-0.41,-0.52
1924,-0.26,-0.16,-0.36,-0.11,-0.26,-0.43,0.22,-0.16,-0.17,-0.25,-0.27,-0.39,-0.46,-0.51
1925,-0.22,-0.12,-0.32,-0.01,-0.25,-0.38,-0.22,0.26,-0.13,-0.27,-0.24,-0.25,-0.55,-0.84
1926,-0.1,0.03,-0.22,0.04,0.02,-0.41,0.42,0.26,-0.19,0.01,0.03,-0.36,-0.45,-0.61
1927,-0.21,-0.11,-0.31,-0.11,-0.16,-0.39,-0.11,-0.13,-0.11,-0.11,-0.2,-0.32,-0.45,-1.36
1928,-0.2,-0.09,-0.31,-0.05,-0.16,-0.4,0.53,-0.08,-0.2,-0.14,-0.19,-0.3,-0.48,-2.1
1929,-0.36,-0.31,-0.39,-0.35,-0.28,-0.45,-0.04,-0.52,-0.34,-0.26,-0.31,-0.43,-0.44,-1.05
1930,-0.15,0,-0.3,0.07,-0.12,-0.43,0.38,0.16,-0.07,-0.1,-0.14,-0.34,-0.47,-2.57
1931,-0.11,0.04,-0.23,0.02,0.04,-0.42,0.35,0.08,-0.12,0.07,0.01,-0.42,-0.4,-0.39
1932,-0.17,-0.06,-0.27,0.04,-0.19,-0.34,0.18,0.31,-0.18,-0.2,-0.19,-0.2,-0.53,-0.97
